,message,category
0,Which New Year's outfit do you like the most?,2
1,"Tatyana Brukhunova's fashionable bonnet, ""in terrible roses"", crocheted, is vigorously discussed on the Web. Many believe that a young woman dresses like a pensioner. Unusual image. Stylish?",2
2,Joggers are one of the stylish models of modern trousers.,2
3,"Vogue, 1950 г.",2
4,The large turndown collar trend is perfect for a romantic look.,2
5,This skirt with a lot of elements is a real helper in creating a bright look for a party.,2
6,An example of a well-executed make-up with a fox look due to additional eyelashes - suitable only for a special event,2
7,LV x NBA: AOC Catches Up With a Brilliant Virgil Abloh 'For the Ages' Collaboration Part 2,2
8,A stylish coat in white from Zara fits into this look.,2
9,Naeem Khan Pre-Fall Fall-Winter 2022/2023 Collection,2
10,"Consuelo Vanderbilt, Duchess of Marlborough (1877 - 1964) - a famous beauty, a representative of the Vanderbilt family of American millionaires, who married the 9th Duke of Marlborough. The richest bride of the Victorian era.",2
11,Stylish oversized jacket with very slender legs is a real bliss,2
12,"Quite an unusual option for the image, but nevertheless well-chosen!",2
13,"Every appearance of Kristen Stewart, a devoted long-term ambassador of Chanel, in the things of a not great French brand, is surprising. So for the Neon Rated evening in the chamber mansion, Kristen appeared in a heavy Dolce & Gabbana jacket, as if not sewn from fabric, but painstakingly assembled from emerald crystals. Kristen's stylists offered her a combination with dark green velvet biker shorts with black lace trim.",2
14,"A green bag here is considered an accent and a highlight not only due to the color, but also due to the unusual texture of the coating.",2
15,"Anna Sedokova and her worst dress, for which, according to her, she will always be ashamed",2
16,"“The main trend of 2022 is glazed tan. Share with your friends,” Hayley jokingly captioned the photo. A minimum of makeup and clothes, only positive emotions! Eh, it would be summer with white nights, verandas and the scorching sun.",2
17,"To avoid such situations, read reviews on the Internet!",2
18,"Since actress Megan Fox hired a new stylist, there has been no trace of a simple American in a plaid shirt and leggings: now the star appears in the best designer outfits and gets into the lists of the most stylish celebrities. And now, her new release is again worthy of applause. This time, Fox came out in a gray suit from the new Dion Lee collection: it consists of strict trousers that visually narrow the waist due to the “cross-shaped” cut, and a top with a spicy cutout on the chest. To complete the set, her stylist Maeve Reilly picked up lavender shoes and an Amina Muaddi handbag.",2
19,"Candice Swanepoel has long hung her ""angelic"" wings on a nail (the girl has long been one of the main models of Victoria's Secret), but despite this, she is in amazing shape and even tomorrow she is ready to go to the podium in her underwear. The star regularly demonstrates her amazing body on Instagram. Today, Candace shared pictures in a new tracksuit. For training, the girl chose a gray two-piece, consisting of sports trousers and a cropped sweatshirt with a zipper. Such a top perfectly emphasized the toned press of the model and her thin waist.",2
20,Max Mara Ready-To-Wear Collection Fall-Winter 2021/2022,2
21,"Elsa Hosk in most cases chooses oversized silhouettes, wide jeans and voluminous outerwear. The model reminded subscribers that under the layers of fashionable clothes she hides a flawless and toned body. The 33-year-old Norwegian celebrity poses in a new photo in a charming floral print bikini and spectacular turquoise Cossack boots. We add that in order to maintain a model figure, Elsa trains regularly, for 35 minutes a day, paying special attention to her legs, hips and abs.",2
22,"Kylie Jenner has announced the release of a new collection of her makeup brand Kylie Cosmetics. In addition to beauty novelties, the girl shared a bright picture in the theme of Valentine's Day. For the photo, the 24-year-old businesswoman tried on a spectacular pink mini-dress, the design of the outfit was specially designed for Kylie. The dress literally embodies the celebration of love: it is made in pink and red colors, there is a cutout in the shape of a heart at the waist, and a deep neckline will not leave anyone indifferent.",2
23,"Yasmine Gauri for YSL, 1990",2
24,"Every outing of Irina Shayk for a walk with her daughter proves that the model looks impressive not only on the podium, but also in everyday life. Choosing seemingly simple outfits, the Russian star still produces a wow effect. And today's appearance of the model on the streets of New York, accompanied by her daughter Leah, is another proof of this. For the day promenade, the model made up a black total bow, consisting of a short ""cheburashka"", leggings and high boots, which successfully emphasized the long and slender legs of the star. Again, we are convinced that no one wears black as effectively as Shake does.",2
25,Blumarine Pre-Fall Fall-Winter 2022/2023 Collection,2
26,"On February 1, 2022, the Balenciaga brand released the second part of the advertising campaign. And this is the very embodiment of luxury! It is no coincidence that Kim Kardashian has been walking the cherished outfits of the brand for half a year, it was she who became the main character of the shooting. In the most comfortable environment for yourself - in your own home; in the most comfortable position for yourself - taking a selfie; in the most comfortable clothes for themselves - endless over the knee boots and structured coats.",2
27,Braschi Ready-To-Wear Collection Fall-Winter 2021/2022,2
28,"Hungarian beauty Barbara Palvin is working hard to go beyond the exclusive world of fashion and wants to develop in the cinema. The picture was selected for participation in the California Film Festival, where the newly minted actress personally presented her arthouse debut. The famous lingerie model Victoria's Secret came to the premiere in a black velvet mini dress by Giorgio Armani, tailored in the manner of a fitted and elongated jacket.",2
29,Johanna Ortiz Ready-To-Wear Spring-Summer 2022 Collection,2
30,"A leather jacket is a great investment in a basic wardrobe. Such laconic outerwear successfully complements simple and practical outfits. For example, Gisele Oliveira this season offers to combine a leather jacket of the Parisian brand Herve Leger with an unbuttoned shirt, a miniskirt and classic ankle boots. The image of the 28-year-old Brazilian model complements interesting accessories - an ironic yellow-checked beret from the Topshop collection and a Hermes bag of a complex azure hue.",2
31,Alexis Mabille Couture Spring-Summer 2022 Collection,2
